Time	Me-P1	Me-P2	Me-P3	Me-P4	Me-P5	Me-P6	Me-P7	Me-P8	Me-P9	Me-P10	Me-P11	Me-P12	Me-P13	Me-P14	Me-P15
14158.8035232651	0	0	0	10	0	3	0	1	0	0	0	0	0	0	0
14191.2035293133	0	0	0	10	0	3	0	1	0	0	0	0	0	0	0
14223.6035434283	0	0	0	10	0	3	0	1	0	0	0	0	0	0	0
14256.0035535957	0	0	0	10	0	3	0	1	0	0	0	0	0	0	0
14288.4035787701	0	0	0	10	0	3	0	1	0	0	0	0	0	0	0
14320.8035734337	0	0	0	10	0	3	0	1	0	0	0	0	0	0	0
14353.2035807476	0	0	0	10	0	3	0	1	0	0	0	0	0	0	0
14385.6036046969	0	0	0	10	0	3	0	1	0	0	0	0	0	0	0
14418.0036094791	0	0	0	10	0	3	0	1	0	0	0	0	0	0	0
14450.4036132546	0	0	0	10	0	3	0	1	0	0	0	0	0	0	0
14482.8036260189	0	0	0	10	0	3	0	1	0	0	0	0	0	0	0
14515.2036361031	0	0	0	10	0	3	0	1	0	0	0	0	0	0	0
14547.6036177338	0	0	0	10	0	3	0	1	0	0	0	0	0	0	0
14580.0036399534	0	0	0	10	0	3	0	1	0	0	0	0	0	0	0
14612.4036417297	0	0	0	10	0	3	0	1	0	0	0	0	0	0	0
14644.8036559797	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
14677.2036532376	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
14709.6036669945	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
14742.003669536	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
14774.4036716451	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
14806.8036890202	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0
14839.2036937363	0	0	0	9	0	4	0	1	0	0	0	0	0	0	0
14871.6036979998	0	0	0	10	0	4	0	1	0	0	0	0	0	0	0
14904.0036945492	0	0	0	10	0	4	0	1	0	0	0	0	0	0	0
14936.4037059616	0	0	0	10	0	4	0	1	0	0	0	0	0	0	0
14968.8037058076	0	0	0	10	0	4	0	1	0	0	0	0	0	0	0
15001.2036990451	0	0	0	10	0	4	0	1	0	0	0	0	0	0	0
15033.6037060614	0	0	0	10	0	4	0	1	0	0	0	0	0	0	0
15066.0037158134	0	0	0	10	0	4	0	1	0	0	0	0	0	0	0
15098.4037313438	0	0	0	10	0	4	0	1	0	0	0	0	0	0	0
15130.8037289276	0	0	0	10	0	4	0	1	0	0	0	0	0	0	0
15163.2037377289	0	0	0	10	0	4	0	1	0	0	0	0	0	0	0
15195.6037386148	0	0	0	11	0	4	0	1	0	0	0	0	0	0	0
15228.0037303696	0	0	0	11	0	4	0	1	0	0	0	0	0	0	0
15260.4037470886	0	0	0	11	0	4	0	1	0	0	0	0	0	0	0
15292.8037507469	0	0	0	11	0	5	0	1	0	0	0	0	0	0	0
15325.2037584007	0	0	0	11	0	5	0	1	0	0	0	0	0	0	0
15357.6037647608	0	0	0	11	0	5	0	1	0	0	0	0	0	0	0
15390.0037657076	0	0	0	11	0	5	0	1	0	0	0	0	0	0	0
15422.4037683747	0	0	0	11	0	5	0	1	0	0	0	0	0	0	0
15454.8037704717	0	0	0	11	0	5	0	1	0	0	0	0	0	0	0
15487.203775161	0	0	0	11	0	5	0	1	0	0	0	0	0	0	0
15519.6037727925	0	0	0	11	0	5	0	1	0	0	0	0	0	0	0
15552.0037811983	0	0	0	11	0	5	0	1	0	0	0	0	0	0	0
