Time	Gag	Pol	Nef	Env	Vpr	Vpu	Vif	Rev	Tat
17384.4371241803	2815	139	137	70	589	27	8	0	0
17388.0371401307	2815	139	137	70	589	27	8	0	0
17391.6371553698	2815	139	137	70	589	27	8	0	0
17395.2371393209	2815	139	137	70	589	27	8	0	0
17398.8371617397	2815	139	137	70	589	27	8	0	0
17402.4371655529	2814	139	137	70	589	27	8	0	0
17406.0371680525	2814	139	137	70	589	27	8	0	0
17409.63715912	2812	139	137	70	589	27	8	0	0
17413.2371747203	2812	139	137	70	589	27	8	0	0
17416.8371917963	2811	139	137	70	589	27	8	0	0
17420.437201215	2810	139	137	70	589	27	8	0	0
17424.0372076766	2810	139	137	70	588	27	8	0	0
17427.6372153463	2810	139	137	70	588	27	8	0	0
17431.2372145938	2810	139	137	70	588	27	8	0	0
17434.8372448236	2808	139	137	70	588	27	8	0	0
17438.4372522817	2808	139	137	70	588	27	8	0	0
17442.0372492807	2808	139	137	70	588	27	8	0	0
17445.6372648064	2808	139	137	70	588	27	8	0	0
17449.2372700754	2808	139	137	70	588	27	8	0	0
17452.8372762793	2807	139	137	70	588	27	8	0	0
17456.4372749448	2807	139	137	70	588	27	8	0	0
17460.0372874336	2807	139	137	70	588	27	8	0	0
17463.6372975771	2806	139	137	70	588	27	8	0	0
17467.2373032903	2806	139	137	70	588	27	8	0	0
17470.8373109148	2806	139	137	70	588	27	8	0	0
17474.4373058932	2806	139	137	70	588	27	8	0	0
17478.0373042368	2806	139	137	70	588	27	8	0	0
17481.6373132418	2806	139	137	70	588	27	8	0	0
17485.237316609	2806	139	137	70	588	27	8	0	0
17488.8373250559	2806	139	137	70	588	27	8	0	0
17492.4373337353	2806	139	137	70	588	27	8	0	0
17496.0373454478	2806	139	137	70	588	27	8	0	0
17499.6373459418	2806	139	137	70	588	27	8	0	0
17503.2373456695	2806	139	137	70	588	27	8	0	0
17506.8373592697	2806	139	137	70	588	27	8	0	0
17510.4373681243	2806	139	137	70	588	27	8	0	0
17514.0373641749	2806	139	137	70	588	27	8	0	0
17517.63736992	2805	139	137	70	588	27	8	0	0
17521.2373678952	2805	139	137	70	588	27	8	0	0
17524.8373761288	2805	139	137	70	588	27	8	0	0
17528.43738041	2805	139	137	70	588	27	8	0	0
17532.0373825407	2805	139	137	70	588	27	8	0	0
17535.6373974209	2805	139	137	70	588	27	8	0	0
17539.2373955774	2804	139	137	70	588	27	8	0	0
17542.8374151814	2804	139	137	70	588	27	8	0	0
17546.437421357	2804	139	137	70	588	27	8	0	0
17550.0374221181	2803	139	137	70	588	27	8	0	0
17553.6374263051	2800	139	137	70	588	27	8	0	0
17557.2374298068	2800	139	137	70	588	27	8	0	0
17560.8374345465	2800	139	137	70	588	27	8	0	0
17564.4374400128	2800	139	137	70	588	27	8	0	0
17568.0374434585	2799	139	137	70	588	27	8	0	0
17571.6374543792	2798	139	137	70	588	27	8	0	0
17575.2374544829	2797	139	137	70	588	27	8	0	0
17578.8374564949	2797	139	137	70	588	27	8	0	0
17582.4374795969	2797	139	137	70	588	27	8	0	0
17586.0374856115	2797	139	137	70	588	27	8	0	0
17589.6374842259	2797	139	137	70	588	27	8	0	0
17593.2374823077	2797	139	137	70	588	27	8	0	0
17596.8374914504	2797	139	137	70	588	27	8	0	0
17600.4374946027	2797	139	137	70	588	27	8	0	0
17604.0374941628	2797	139	137	70	588	27	8	0	0
17607.6375056479	2797	139	137	70	588	27	8	0	0
17611.2375012644	2797	139	137	70	588	27	8	0	0
17614.8375084229	2797	139	137	70	588	27	8	0	0
17618.4375078052	2797	139	137	70	588	27	8	0	0
17622.0375072356	2797	139	137	70	588	27	8	0	0
17625.6375141676	2796	139	137	70	588	27	8	0	0
17629.2375290113	2796	139	137	70	588	27	8	0	0
17632.8375312874	2796	139	137	70	588	27	8	0	0
17636.4375413827	2794	139	137	70	588	27	8	0	0
17640.037541976	2794	139	137	70	588	27	8	0	0
17643.6375489856	2793	139	137	70	588	27	8	0	0
17647.2375775451	2793	139	137	70	588	27	8	0	0
17650.837568947	2793	139	137	70	588	27	8	0	0
17654.4375835718	2793	139	137	70	588	27	8	0	0
17658.0375955601	2793	139	137	70	588	27	8	0	0
17661.6376036118	2793	139	137	70	588	27	8	0	0
17665.2376043859	2793	139	137	70	588	27	8	0	0
17668.8376005902	2791	138	137	70	588	27	8	0	0
17672.4376056511	2790	138	137	70	588	27	8	0	0
17676.0376104259	2789	138	137	70	588	27	8	0	0
17679.6376150769	2789	138	137	70	588	27	8	0	0
17683.2376195303	2789	138	137	70	587	27	8	0	0
17686.837630789	2788	138	137	70	587	27	8	0	0
