Time	Me-P1	Me-P2	Me-P0
-49075.2	0	0	127403.422727336
-48384	0	0	127690.183712087
-47692.8	0	0	127976.850416375
-47001.6	0	0	128263.422871259
-46310.4	0	0	128549.901114383
-45619.2	0	0	128836.285198036
-44928	0	0	129122.575163942
-44236.8	0	0	129408.7710289
-43545.6	0	0	129694.872868981
-42854.4	0	0	129980.880691198
-42163.2	0	0	130266.794558656
-41472	0	0	130552.614497564
-40780.8	0	0	130838.34052129
-40089.6	0	0	131123.972754992
-39398.4	0	0	131409.511162671
-38707.2	0	0	131694.955806507
-38016	0	0	131980.30672321
-37324.8	0	0	132265.563961789
-36633.6	0	0	132550.727558938
-35942.4	0	0	132835.797531734
-35251.2	0	0	133120.773962286
-34560	0	0	133405.656862756
-33868.8	0	0	133690.446273711
-33177.6	0	0	133975.142257372
-32486.4	0	0	134259.744823031
-31795.2	0	0	134544.254018775
-31104	0	0	134828.669900768
-30412.8	0	0	135112.992500802
-29721.6	0	0	135397.221841863
-29030.4	0	0	135681.357987603
-28339.2	0	0	135965.400964162
-27648	0	0	136249.350819911
-26956.8	0	0	136533.207584278
-26265.6	0	0	136816.971292832
-25574.4	0	0	137100.64200758
-24883.2	0	0	137384.219758091
-24192	0	0	137667.704561002
-23500.8	0	0	137951.096493608
-22809.6	0	0	138234.395582014
-22118.4	0	0	138517.601843701
-21427.2	0	0	138800.715335357
-20736	0	0	139083.736106044
-20044.8	0	0	139366.664182277
-19353.6	0	0	139649.499609774
-18662.4	0	0	139932.242420346
-17971.2	0	0	140214.892658688
-17280	0	0	140497.45037362
-16588.8	0	0	140779.915587341
-15897.6	0	0	141062.288341215
-15206.4	0	0	141344.568683955
-14515.2	0	0	141626.756639917
-13824	0	0	141908.852277748
-13132.8	0	0	142190.855594363
-12441.6	0	0	142472.766684545
-11750.4	0	0	142754.585523374
-11059.2	0	0	143036.312194445
-10368	0	0	143317.946723127
-9676.79999999999	0	0	143599.489150011
-8985.59999999998	0	0	143880.939520177
-8294.40000000002	0	0	144162.297845142
-7603.20000000001	0	0	144443.564217323
-6912	0	0	144724.738624543
-6220.79999999999	0	0	145005.82112765
-5529.59999999998	0	0	145286.811760578
-4838.40000000002	0	0	145567.710567716
-4147.20000000001	0	0	145848.517575633
-3456	0	0	146129.232845788
-2764.79999999999	0	0	146409.856392966
-2073.59999999998	0	0	146690.388275351
-1382.40000000002	0	0	146970.828514864
-691.200000000012	0	0	147251.177159518
0	0	0	147531.434247421
0	0	0	147531.434247421
0	0	0	147531.434247421
0	0	0	147531.434247421
691.200000000012	5338474.56386997	1800610.85633836	145071.111918204
1382.40000000002	10325151.5818534	3352063.53500885	141309.707618893
2073.59999999998	14422105.0892644	4598308.60206067	136788.136248356
2764.79999999999	17772919.2998934	5591250.61705148	131729.383275634
3456	20500434.8458657	6374588.82513999	126313.234997992
4147.20000000001	22708765.9136419	6984905.02491063	120683.461354953
4838.40000000002	24485702.3291738	7452730.80117195	114954.026339029
5529.59999999998	25904931.9957055	7803474.63381543	109214.326389082
6220.79999999999	27028086.1554644	8058233.86713617	103533.616062996
6912	27906568.1168648	8234494.8321019	97964.7125242659
7603.20000000001	28583143.9783038	8346725.9951817	92547.0871597946
8294.40000000002	29093337.3379322	8406886.07974723	87309.4173774355
8985.59999999998	29466602.6811538	8424845.31076479	82271.7082946661
9676.79999999999	29727336.3490228	8408742.94513636	77447.0278580418
10368	29895720.6528612	8365283.03368284	72842.943467286
11059.2	29988438.2755257	8299982.41371276	68462.6922416856
11750.4	30019269.7994005	8217376.7019692	64306.1337511457
12441.6	29999590.9217677	8121190.82115622	60370.527843061
13132.8	29938785.0546009	8014480.01839352	56651.1744073519
13824	29844591.4416474	7899747.93976254	53141.9011704265
14515.2	29723387.5362794	7779042.59140318	49835.4858382459
15206.4	29580425.663431	7654036.40859366	46723.9854863486
15897.6	29420029.771708	7526092.5345858	43798.9900240287
16588.8	29245756.0859119	7396319.20669239	41051.8461688625
17280	29060529.8998905	7265615.17715003	38473.7839483584
17971.2	28866753.463125	7134706.5611275	36056.0824029863
18662.4	28666399.4664352	7004177.74315405	33790.1397532705
19353.6	28461086.3108693	6874496.57082906	31667.5474900547
20044.8	28252140.1067821	6746035.32835441	29680.158685325
20736	28040646.7231492	6619087.91789945	27820.1151431982
21427.2	27827494.2476242	6493884.02475516	26079.8743523581
22118.4	27613408.0494228	6370600.72315692	24452.2226439939
22809.6	27398979.6133862	6249372.20264955	22930.2910070934
23500.8	27184690.4532812	6130297.7486442	21507.5588948902
24192	26970931.548654	6013447.56323166	20177.8238595146
24883.2	26758019.6583454	5898869.16104559	18935.241930054
25574.4	26546210.5391479	5786591.09595464	17774.2891910413
26265.6	26335709.8645257	5676626.68959316	16689.7575843912
26956.8	26126682.0806403	5568976.814751	15676.7383904577
27648	25919258.0360669	5463632.7106013	14730.6218707451
28339.2	25713540.8675528	5360577.66376924	13847.0743548567
29030.4	25509610.9743797	5259788.64640776	13022.0258486728
29721.6	25307530.2802504	5161237.85285945	12251.6618211954
30412.8	25107345.4450888	5064893.59002266	11532.4046816046
31104	24909090.7151991	4970721.27184638	10860.9033506301
31795.2	24712789.9641498	4878683.89516181	10234.0153877802
32486.4	24518459.0255451	4788743.14273895	9648.80542135821
33177.6	24326106.7215191	4700859.31812515	9102.52204928954
33868.8	24135736.5646281	4614992.20584211	8592.59570844174
34560	23947347.290871	4531100.87748959	8116.61857465556
35251.2	23760934.2011308	4449144.44864609	7672.34327729
35942.4	23576489.5233731	4369081.95056616	7257.66734080588
36633.6	23394003.175419	4290872.68374014	6870.62708039848
37324.8	23213463.163419	4214476.27985678	6509.3877099087
38016	23034855.8290944	4139852.68220541	6172.23352418942
38707.2	22858166.4575369	4066962.49698594	5857.56387123369
39398.4	22683379.310242	3995766.84839226	5563.88296812588
40089.6	22510477.819797	3926227.41654013	5289.79312215761
40780.8	22339445.0077403	3858306.68735181	5033.99078967539
41472	22170263.3329793	3791967.72177387	4795.25753418567
42163.2	22002914.9495504	3727174.29926157	4572.45589380491
42854.4	21837381.7513778	3663890.88742011	4364.52365245982
43545.6	21673645.5609826	3602082.74033848	4170.46976259784
44236.8	21511688.1076901	3541715.82859564	3989.36895614276
44928	21351491.0955439	3482756.85137668	3820.35752553106
45619.2	21193036.2045994	3425173.20037669	3662.62900455708
46310.4	21036305.0917879	3368932.929687	3515.43024016493
47001.6	20881279.6484747	3314004.92571685	3378.05919262717
47692.8	20727941.6787006	3260358.63183274	3249.85958608228
48384	20576273.2440985	3207964.28876873	3130.21966013875
49075.2	20426256.4789634	3156792.77075155	3018.56815056539
49766.4	20277873.637885	3106815.60235493	2914.37180194271
50457.6	20131107.0647907	3058004.91854622	2817.1327025687
51148.8	19985939.4404891	3010333.62390252	2726.38689817828
51840	19842353.4193078	2963775.11545087	2641.70064543619
52531.2	19700331.9073745	2918303.46616902	2562.66948309543
53222.4	19559857.9514175	2873893.33085441	2488.91584781987
53913.6	19420914.757121	2830519.94526161	2420.08734768136
54604.8	19283485.6788727	2788159.10605207	2355.85505718101
55296	19147554.2957048	2746787.20800899	2295.91216652501
55987.2	19013104.3208744	2706381.17087854	2239.97224572228
56678.4	18880119.6704973	2666918.47223701	2187.76806390944
57369.6	18748584.3475672	2628377.06151233	2139.05003712269
58060.8	18618482.6404961	2590735.47483411	2093.58551411328
58752	18489798.8937662	2553972.67891397	2051.15712805971
59443.2	18362517.6940446	2518068.17703095	2011.56218769729
60134.4	18236623.7964976	2483001.9516036	1974.61153077859
60825.6	18112102.0771956	2448754.42580246	1940.128546332
61516.8	17988937.567957	2415306.47545635	1907.94840601307
62208	17867115.4690128	2382639.42683585	1877.91730692502
62899.2	17746621.1870372	2350735.06845517	1849.89178416114
63590.4	17627440.2439488	2319575.58906777	1823.73788749639
64281.6	17509558.3289041	2289143.59894154	1799.33062804264
64972.8	17392961.2927268	2259422.11763442	1776.55336301823
65664	17277635.1316685	2230394.55642634	1755.29725490574
66355.2	17163566.007166	2202044.72073482	1735.4607094155
67046.4	17050740.1916348	2174356.77299038	1716.94890102734
67737.6	16939144.1309181	2147315.25838258	1699.6733604218
68428.8	16828764.4469345	2120905.09758718	1683.5515468625
69120	16719587.8822866	2095111.55018958	1668.50641129359
69811.2	16611601.2838188	2069920.19985203	1654.46601851647
70502.4	16504791.7225267	2045317.00747261	1641.363299801
71193.6	16399146.3576344	2021288.23531292	1629.13562709145
71884.8	16294652.5053125	1997820.47478662	1617.72456436242
72576	16191297.6260795	1974900.63318029	1607.07558332837
73267.2	16089069.3057111	1952515.91791411	1597.13778851826
73958.4	15987955.2246557	1930653.81627207	1587.86366211971
74649.6	15887943.2860386	1909302.1488243	1579.20890518487
75340.8	15789021.5368569	1888449.02510239	1571.13218502328
76032	15691177.9292177	1868082.73082556	1563.59481854829
76723.2	15594400.7726305	1848191.9275639	1556.56081415151
77414.4	15498678.4873128	1828765.53331126	1549.99657561541
78105.6	15403999.543642	1809792.6914237	1543.87071763448
78796.8	15310352.578884	1791262.81672309	1538.15396723465
79488	15217726.4496634	1773165.61099577	1532.81903943254
80179.2	15126109.8057161	1755490.8790993	1527.84035562245
80870.4	15035491.7840542	1738228.81579802	1523.19417353678
81561.6	14945861.4834425	1721369.77947909	1518.85828430056
82252.8	14857208.1267463	1704904.35599164	1514.81195840802
82944	14769521.0739084	1688823.35885476	1511.03586218709
83635.2	14682789.7963052	1673117.8141813	1507.51194976129
84326.4	14597003.9080033	1657778.96824356	1504.22338555538
85017.6	14512153.0453937	1642798.2368613	1501.15443948747
85708.8	14428227.0287306	1628167.2636013	1498.29044567262
86400	14345215.7981038	1613877.89023505	1495.61772368148
87091.2	14263109.3503783	1599922.12946637	1493.12349062762
87782.4	14181897.8443379	1586292.19993923	1490.79583238221
88473.6	14101571.5443713	1572980.5010974	1488.62362813816
89164.8	14022120.7671809	1559979.59072445	1486.59648705635
89856	13943535.9804282	1547282.21654137	1484.70472663603
90547.2	13865807.7723758	1534881.30115619	1482.93930748543
91238.4	13788926.8390026	1522769.93379891	1481.29179857171
91929.6	13712883.8270839	1510941.31443686	1479.75430651961
92620.8	13637669.6720836	1499388.86474992	1478.31949455426
93312	13563275.3243817	1488106.13188488	1476.980503715
94003.2	13489691.853728	1477086.82048514	1475.73093472024
94694.4	13416910.4385951	1466324.78571214	1474.56481818776
95385.6	13344922.33841	1455814.02123882	1473.47658196737
96076.8	13273718.8866721	1445548.6544044	1472.46101968037
96768	13203291.5429065	1435522.95951596	1471.51328262139
97459.2	13133631.8250453	1425731.33397831	1470.62883660812
98150.4	13064731.3904601	1416168.32023005	1469.80345811657
98841.6	12996581.9641673	1406828.58101822	1469.03320262823
99532.8	12929175.3542079	1397706.90161187	1468.31438620068
100224	12862503.4488265	1388798.18649809	1467.64357561474
100915.2	12796558.263476	1380097.47025927	1467.01756416602
101606.4	12731331.8468663	1371599.88814864	1466.43336013507
102297.6	12666816.3937936	1363300.70569074	1465.88817234222
102988.8	12603004.1552902	1355195.29079545	1465.37939300274
